学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国石油大学(北京),北京,A,0,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国石油大学(北京),北京,A,0,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国石油大学(北京),北京,A,0,1,1,统考,克拉玛依校区,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国石油大学(北京),北京,A,0,1,1,统考,克拉玛依校区,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国地质大学(北京),北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(203)日语,(303)数学（三）,(432)统计学,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国地质大学(北京),北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(203)日语,(303)数学（三）,(432)统计学,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中国地质大学(北京),北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(203)日语,(303)数学（三）,(432)统计学,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
