学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,计算机与信息工程学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(821)现代农业与农业信息化,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,文法与城乡发展学院,(095138)(专业学位)农村发展,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(828)乡村治理与乡村建设,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,林学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：12(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(806)测绘地理信息学基础,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,生物科学与技术学院,(095135)(专业学位)食品加工与安全,全日制,专业：58(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(837)食品化学,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,信息学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(840)数据库原理及应用,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,经济管理学院,(095138)(专业学位)农村发展,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(828)农林经济学综合,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,草业与草原学院,(095131)(专业学位)农艺与种业,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(801)草学基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,地理科学与资源研究所,(095137)(专业学位)农业管理,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(342)农业知识综合四,(836)经济地理学,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,地理科学与资源研究所,(095137)(专业学位)农业管理,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(342)农业知识综合四,(836)经济地理学,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,资源与环境学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(341)农业知识综合三,(864)程序设计,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,南京土壤研究所,(095132)(专业学位)资源利用与植物保护,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(908)土壤与植物营养,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,南京土壤研究所,(095132)(专业学位)资源利用与植物保护,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(908)土壤与植物营养,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,南京土壤研究所,(095132)(专业学位)资源利用与植物保护,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(908)土壤与植物营养,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,南京土壤研究所,(095132)(专业学位)资源利用与植物保护,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(908)土壤与植物营养,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,南京土壤研究所,(095132)(专业学位)资源利用与植物保护,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(908)土壤与植物营养,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,作物科学所,(095131)(专业学位)农艺与种业,全日制,专业：33(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(831)作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,作物科学所,(095135)(专业学位)食品加工与安全,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(841)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095132)(专业学位)资源利用与植物保护,全日制,专业：26(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095132)(专业学位)资源利用与植物保护,全日制,专业：26(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(834)植物营养学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095132)(专业学位)资源利用与植物保护,全日制,专业：26(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095132)(专业学位)资源利用与植物保护,全日制,专业：26(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095132)(专业学位)资源利用与植物保护,全日制,专业：26(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095136)(专业学位)农业工程与信息技术,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(843)农业信息学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095137)(专业学位)农业管理,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(839)农村社会调查研究方法,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,资源区划所,(095138)(专业学位)农村发展,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(839)农村社会调查研究方法,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,环发所,(095132)(专业学位)资源利用与植物保护,全日制,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(835)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,环发所,(095132)(专业学位)资源利用与植物保护,全日制,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,环发所,(095132)(专业学位)资源利用与植物保护,全日制,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(833)高级土壤学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,环发所,(095136)(专业学位)农业工程与信息技术,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(844)农业生物环境工程,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蔬菜花卉所,(095131)(专业学位)农艺与种业,全日制,专业：23(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(832)园艺作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业科学院,北京,A,普通院校,统考,蔬菜花卉所,(095132)(专业学位)资源利用与植物保护,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(835)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
