学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
云南师范大学,云南,B,0,0,0,统考,物理与电子信息学院,(085400)(专业学位)电子信息,全日制,专业：17(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(830)大学物理
云南师范大学,云南,B,0,0,0,统考,物理与电子信息学院,(085400)(专业学位)电子信息,全日制,专业：17(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(830)大学物理
云南师范大学,云南,B,0,0,0,统考,地理学部,(085400)(专业学位)电子信息,全日制,专业：4(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)信息技术基础
云南师范大学,云南,B,0,0,0,统考,信息学院,(085400)(专业学位)电子信息,全日制,专业：43(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)信息技术基础
云南师范大学,云南,B,0,0,0,统考,信息学院,(085400)(专业学位)电子信息,全日制,专业：43(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)信息技术基础
云南师范大学,云南,B,0,0,0,统考,民族教育信息化教育部重点实验室,(085400)(专业学位)电子信息,全日制,专业：4(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)信息技术基础
西藏民族大学,西藏,B,0,0,0,统考,信息工程学院,(085400)(专业学位)电子信息,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(931)计算机专业基础综合,(101)思想政治理论,(240)梵文,(302)数学（二）,(931)计算机专业基础综合
西藏民族大学,西藏,B,0,0,0,统考,信息工程学院,(085400)(专业学位)电子信息,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(931)计算机专业基础综合,(101)思想政治理论,(240)梵文,(302)数学（二）,(931)计算机专业基础综合
兰州大学,甘肃,B,1,1,1,统考,物理科学与技术学院,(085400)(专业学位)电子信息,全日制,专业：40(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)半导体物理(含晶体管原理)
兰州大学,甘肃,B,1,1,1,统考,信息科学与工程学院,(085400)(专业学位)电子信息,全日制,研究方向：52(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)电子线路基础（模拟电路、数字电路）
兰州大学,甘肃,B,1,1,1,统考,信息科学与工程学院,(085400)(专业学位)电子信息,全日制,研究方向：64(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)计算机专业基础
兰州大学,甘肃,B,1,1,1,统考,信息科学与工程学院,(085400)(专业学位)电子信息,全日制,研究方向：9(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)计算机专业基础
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,电气工程与信息工程学院,(085406)(专业学位)控制工程,全日制,专业：89(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)自动控制原理
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：41(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(839)通信原理
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：41(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(839)通信原理
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：41(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(839)通信原理
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：41(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(839)通信原理
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085404)(专业学位)计算机技术,全日制,专业：103(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)数据结构
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085404)(专业学位)计算机技术,全日制,专业：103(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)数据结构
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085404)(专业学位)计算机技术,全日制,专业：103(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)数据结构
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085404)(专业学位)计算机技术,全日制,专业：103(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)数据结构
兰州理工大学,甘肃,B,0,0,0,统考,计算机与通信学院,(085404)(专业学位)计算机技术,全日制,专业：103(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)数据结构
