学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
东南大学,江苏,A,1,1,1,统考,数学学院,(025200)(专业学位)应用统计,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
中国科学技术大学,安徽,A,1,1,1,统考,管理学院,(025200)(专业学位)应用统计,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
厦门大学,福建,A,1,1,1,统考,统计学与数据科学系,(025200)(专业学位)应用统计,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
厦门大学,福建,A,1,1,1,统考,王亚南经济研究院,(025200)(专业学位)应用统计,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
山东大学,山东,A,1,1,1,统考,经济研究院,(025200)(专业学位)应用统计,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
山东大学,山东,A,1,1,1,统考,金融研究院,(025200)(专业学位)应用统计,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
山东大学,山东,A,1,1,1,统考,金融研究院,(025200)(专业学位)应用统计,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
山东大学,山东,A,1,1,1,统考,金融研究院,(025200)(专业学位)应用统计,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
山东大学,山东,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
山东大学,山东,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(432)统计学
中国海洋大学,山东,A,1,1,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：12(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
武汉大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
