学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
中国人民大学,北京,A,1,1,1,统考,商学院（专业学位）,(025600)(专业学位)资产评估,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(436)资产评估专业基础
中国人民大学,北京,A,1,1,1,统考,商学院（专业学位）,(025600)(专业学位)资产评估,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(436)资产评估专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025600)(专业学位)资产评估,全日制,专业：40(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(436)资产评估专业基础
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025600)(专业学位)资产评估,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(436)资产评估专业基础
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025600)(专业学位)资产评估,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(436)资产评估专业基础
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025600)(专业学位)资产评估,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(436)资产评估专业基础
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025600)(专业学位)资产评估,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(436)资产评估专业基础
厦门大学,福建,A,1,1,1,统考,财政系,(025600)(专业学位)资产评估,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(436)资产评估专业基础
