学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
东北师范大学,吉林,A,211，双一流,统考,信息科学与技术学院,(077500)计算机科学与技术,全日制,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(635)数学（计）,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北师范大学,吉林,A,211，双一流,统考,信息科学与技术学院,(077500)计算机科学与技术,全日制,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(635)数学（计）,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北师范大学,吉林,A,211，双一流,统考,信息科学与技术学院,(077500)计算机科学与技术,全日制,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(635)数学（计）,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
东北师范大学,吉林,A,211，双一流,统考,信息科学与技术学院,(077500)计算机科学与技术,全日制,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(635)数学（计）,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
吉林师范大学,吉林,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(602)理学数学（计算机）,(838)数据结构,(101)思想政治理论,(203)日语,(602)理学数学（计算机）,(838)数据结构,-,-,-,-,-,-,-,-
吉林师范大学,吉林,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(602)理学数学（计算机）,(838)数据结构,(101)思想政治理论,(203)日语,(602)理学数学（计算机）,(838)数据结构,-,-,-,-,-,-,-,-
吉林师范大学,吉林,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(602)理学数学（计算机）,(838)数据结构,(101)思想政治理论,(203)日语,(602)理学数学（计算机）,(838)数据结构,-,-,-,-,-,-,-,-
浙江工商大学,浙江,A,普通院校,统考,统计与数学学院,(0775Z1)计算科学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(601)数学分析,(846)高等代数,-,-,-,-,-,-,-,-,-,-,-,-
东华理工大学,江西,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(619)离散数学,(811)数据结构（含C程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
东华理工大学,江西,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(619)离散数学,(811)数据结构（含C程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
东华理工大学,江西,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(619)离散数学,(811)数据结构（含C程序设计）,-,-,-,-,-,-,-,-,-,-,-,-
江西理工大学,江西,A,普通院校,统考,信息工程学院,(077502)计算机软件与理论,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学（自命题）,(873)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
江西理工大学,江西,A,普通院校,统考,理学院,(077500)计算机科学与技术,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学（自命题）,(873)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
河南科技大学,河南,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(652)离散数学,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
河南科技大学,河南,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(652)离散数学,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
