学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
首都师范大学,北京,A,双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(908)数据结构,(101)思想政治理论,(203)日语,(301)数学（一）,(908)数据结构,-,-,-,-,-,-,-,-
首都师范大学,北京,A,双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(908)数据结构,(101)思想政治理论,(203)日语,(301)数学（一）,(908)数据结构,-,-,-,-,-,-,-,-
中央民族大学,北京,A,985，211，双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(857)软件工程专业综合,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
